"id_orcamento","dotacao_atual","empenhado","liquidado","pago","fk_acao","fk_programa","fk_unidade","fk_ano"
"123","1902595","1604786","1604786","754786","29","3","2","7"
"124","500000","0","0","0","55","3","2","7"
"125","49189","25836","25836","25836","56","3","2","7"
"126","1350000","1350000","1350000","1350000","30","3","2","7"
"127","56952","23769","23769","23769","2","3","2","7"
"128","6500","3681","3681","3681","1","3","2","7"
"129","56000","35971","35971","35971","31","3","2","7"
"130","114000","93190","93190","93190","32","3","2","7"
"131","5601224","5598569","5598569","3989095","57","3","2","7"
"132","8168899","7910540","7910540","7556853","33","3","2","7"
"133","7907712","7821789","7821789","4291979","34","3","2","7"
"134","3324258","3324258","3324258","1981200","58","3","2","7"
"135","112000","111337","111337","111337","44","3","2","7"
"136","78487334","78480901","78480901","53313137","45","3","2","7"
"137","2739028","65735","65735","27515","46","3","2","7"
"138","44185458","34229846","34229846","3368578","35","3","2","7"
"139","4948474","4947290","4947290","2825316","47","3","2","7"
"140","4814453","4814450","4814450","3540233","48","3","2","7"
"141","1628095","1628095","1628095","660449","36","3","2","7"
"142","850000","850000","850000","255683","59","3","2","7"
"143","1060000","1060000","1060000","736281","49","3","2","7"
"144","475000","474327","474327","226092","50","3","2","7"
"145","13347571","13346662","13346662","9093355","60","3","2","7"
"146","26100776","23510948","23510948","7085928","6","3","2","7"
"147","1947438","1755543","1755543","909891","39","3","2","7"
"148","690000","689885","689885","468213","61","3","2","7"
"149","19000000","16815025","16815025","16815025","24","3","2","7"
"150","8739417","7271182","7271182","1079964","53","3","2","7"
"151","6500","3866","3866","3866","25","8","2","7"
"152","83205","73979","73979","73979","23","6","1","8"
"153","1500000","1468658","443639","433656","54","3","1","8"
"154","4200000","300000","300000","300000","29","3","1","8"
"155","500000","0","0","0","55","3","1","8"
"156","14184400","13474796","11945604","10692191","62","3","1","8"
"157","2000000","0","0","0","63","3","1","8"
"158","64440","33510","33510","31571","56","3","1","8"
"159","700000","0","0","0","30","3","1","8"
"160","27720","20714","20714","20714","2","3","1","8"
"161","5700","5296","5296","5296","1","3","1","8"
"162","45980","27979","27979","27979","31","3","1","8"
"163","104970","88493","88493","88493","32","3","1","8"
"164","7000000","6974386","4618552","4618083","57","3","1","8"
"165","11272839","8517389","8237868","8211819","33","3","1","8"
"166","11900000","11886956","3077518","3077518","34","3","1","8"
"167","500000","457963","82214","82214","58","3","1","8"
"168","300000","90304","53597","53597","44","3","1","8"
"169","93355000","93302156","56613580","56585593","45","3","1","8"
